scorer,horizon,mean_coef,mean_tstat,n_tickers
classifier,1,-0.00034817483573640833,-0.16675115016412176,5
classifier,2,-5.37983495129618e-05,0.109578400119096,5
classifier,3,0.00045664430105294616,0.27343827895430634,5
classifier,4,0.0002797268337736053,0.10076924671449265,5
classifier,5,-0.00019342128954371197,0.030814907251445634,5
lexicon,1,-0.0002615982492622186,-0.047941879703057654,5
lexicon,2,6.182537628558709e-05,0.26621165115962975,5
lexicon,3,0.0004031544497636208,0.37319226815913725,5
lexicon,4,0.000436735734754393,0.2767961665511246,5
lexicon,5,0.00014538508599276664,0.219224208207396,5
