rel_day,aar,n_events,car
-5,0.00038062755792131887,2361.0,0.00038062755792131887
-4,6.094656126963779e-05,2363.0,0.00044157411919095666
-3,-0.00012661703452359195,2365.0,0.00031495708466736474
-2,0.000313476433429461,2368.0,0.0006284335180968257
-1,3.1954291578991963e-06,2370.0,0.0006316289472547249
0,0.0005514388649702928,2373.0,0.0011830678122250176
1,0.0002772890990152577,2373.0,0.0014603569112402754
2,-3.440813288941206e-05,2372.0,0.0014259487783508634
3,3.0864510403917564e-05,2369.0,0.0014568132887547809
4,-4.876292595898841e-06,2368.0,0.001451936996158882
5,-1.3512143143371524e-05,2365.0,0.0014384248530155104
